scenario_id,model,run_idx,difficulty,domain,pivot_turn,turns_used,booking_done,early_booking_turn,first_hall_turn,total_hallucinations,hallucination_types,latency_total_s
easy_01,gemma-3-12b-it,1,easy,restaurant,13,30,True,6,,0,[],49.581
flight_easy_01,gemma-3-12b-it,1,easy,flight,13,34,True,11,,0,[],90.348
medium_03,gemma-3-12b-it,1,medium,restaurant,13,30,True,6,,0,"[""PREMATURE_COMMIT"", ""PREMATURE_COMMIT""]",79.733
flight_medium_02,gemma-3-12b-it,1,medium,flight,13,34,True,11,,0,[],69.86
hard_01,gemma-3-12b-it,1,hard,restaurant,13,29,True,6,,0,[],49.97
flight_hard_03,gemma-3-12b-it,1,hard,flight,13,35,True,11,,0,[],70.283
conflict_03,gemma-3-12b-it,1,conflicting,restaurant,13,31,True,7,,0,[],52.404
flight_conflict_02,gemma-3-12b-it,1,conflicting,flight,13,32,True,11,,0,[],78.726
adversarial_01,gemma-3-12b-it,1,adversarial,restaurant,13,31,True,6,,0,[],54.756
flight_adversarial_01,gemma-3-12b-it,1,adversarial,flight,13,38,True,12,,0,[],69.094
